"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","21 May 2025","22632.4","22811.95","22577.4","22730.65"
"NIFTY 500","20 May 2025","22942.65","22958.6","22565.55","22585.60"
"NIFTY 500","19 May 2025","22896.25","22965.05","22827.65","22865.80"
"NIFTY 500","16 May 2025","22825.55","22885.35","22750.35","22870.90"
"NIFTY 500","15 May 2025","22547.05","22814.1","22408.65","22788.80"
"NIFTY 500","14 May 2025","22402.65","22544.9","22366.4","22499.50"
"NIFTY 500","13 May 2025","22491.5","22575.7","22317.5","22349.40"
"NIFTY 500","12 May 2025","22149.4","22525","22126.4","22511.40"
"NIFTY 500","09 May 2025","21463.75","21716.05","21463.75","21675.55"
"NIFTY 500","08 May 2025","22109.35","22145.2","21730.55","21843.05"
"NIFTY 500","07 May 2025","21756.8","22084.7","21752.9","22072.45"
"NIFTY 500","06 May 2025","22235.6","22244.5","21916.9","21956.60"
"NIFTY 500","05 May 2025","22086.25","22209.95","22070.95","22195.15"
"NIFTY 500","02 May 2025","22009.95","22238.9","21920.85","22006.00"
"NIFTY 500","30 Apr 2025","22119.2","22175","21920.55","22030.05"
"NIFTY 500","29 Apr 2025","22160.75","22255.9","22084.55","22112.40"
"NIFTY 500","28 Apr 2025","21843.45","22125.45","21841.4","22101.85"
"NIFTY 500","25 Apr 2025","22220.3","22271.85","21661.6","21848.15"
"NIFTY 500","24 Apr 2025","22217.65","22270.15","22155.4","22180.65"
"NIFTY 500","23 Apr 2025","22238.6","22263.85","21988.35","22237.60"
"NIFTY 500","22 Apr 2025","22072","22157.95","21953.4","22085.15"
"NIFTY 500","21 Apr 2025","21787.05","22033.75","21732.45","22005.75"
"NIFTY 500","17 Apr 2025","21379.35","21704.1","21296.35","21681.55"
"NIFTY 500","16 Apr 2025","21302.75","21414.85","21246.4","21404.35"
"NIFTY 500","15 Apr 2025","21199.05","21302.75","21067.6","21279.40"
"NIFTY 500","11 Apr 2025","20684.85","20817.5","20629","20752.85"
"NIFTY 500","09 Apr 2025","20422.95","20423.25","20252.35","20356.75"
"NIFTY 500","08 Apr 2025","20430.1","20588.4","20227.15","20480.80"
"NIFTY 500","07 Apr 2025","19524.25","20189.35","19519.85","20105.70"
"NIFTY 500","04 Apr 2025","21199.2","21212.1","20736.8","20805.35"
"NIFTY 500","03 Apr 2025","21100.55","21263.45","21096.75","21243.40"
"NIFTY 500","02 Apr 2025","21101.85","21279.1","21007.15","21265.65"
"NIFTY 500","01 Apr 2025","21227.1","21398.35","21042.45","21070.75"
"NIFTY 500","28 Mar 2025","21439.2","21514.1","21277.9","21339.55"
"NIFTY 500","27 Mar 2025","21218.4","21447.9","21195.7","21407.95"
"NIFTY 500","26 Mar 2025","21464.95","21525.6","21255.7","21275.45"
"NIFTY 500","25 Mar 2025","21652.85","21674.05","21385.8","21437.75"
"NIFTY 500","24 Mar 2025","21427.2","21595.85","21346.8","21538.10"
"NIFTY 500","21 Mar 2025","21065.25","21297","21031.45","21273.90"
"NIFTY 500","20 Mar 2025","20989.35","21092.2","20873.55","21070.05"
"NIFTY 500","19 Mar 2025","20713.25","20895.25","20664","20864.50"
"NIFTY 500","18 Mar 2025","20418.55","20676.95","20370.2","20657.20"
"NIFTY 500","17 Mar 2025","20166.6","20358.25","20166.5","20288.30"
"NIFTY 500","13 Mar 2025","20337.85","20357.3","20157.5","20176.05"
"NIFTY 500","12 Mar 2025","20351.9","20397.95","20108.7","20264.35"
"NIFTY 500","11 Mar 2025","20122.55","20333.75","20073.4","20302.50"
"NIFTY 500","10 Mar 2025","20434.95","20543.7","20230.65","20266.50"
"NIFTY 500","07 Mar 2025","20428.15","20549.2","20377.6","20443.40"
"NIFTY 500","06 Mar 2025","20411.45","20467.15","20262.75","20447.10"
"NIFTY 500","05 Mar 2025","19901.6","20265.05","19901.6","20256.50"
"NIFTY 500","04 Mar 2025","19736.05","19957.5","19681.65","19917.85"
"NIFTY 500","03 Mar 2025","19935.55","19997.05","19658.3","19896.95"
"NIFTY 500","28 Feb 2025","20185.4","20197.85","19816","19880.90"
"NIFTY 500","27 Feb 2025","20436.5","20471.85","20278.65","20315.55"
"NIFTY 500","25 Feb 2025","20445.55","20548.9","20388.75","20418.75"
"NIFTY 500","24 Feb 2025","20510.95","20546.05","20429.3","20468.45"
"NIFTY 500","21 Feb 2025","20792.05","20903.35","20616.6","20690.25"
"NIFTY 500","20 Feb 2025","20645.7","20840.35","20630.2","20831.10"
