Date,Price,Change 
2014-09-17,41374.00,-0.25
2014-09-18,40934.00,-1.06
2014-09-19,39626.00,-3.20
2014-09-22,39573.00,-0.13
2014-09-23,39511.00,-0.16
2014-09-24,39265.00,-0.62
2014-09-25,39230.00,-0.09
2014-09-26,39169.00,-0.16
2014-09-27,39172.00,0.01
2014-09-29,39354.00,0.46
2014-09-30,38516.00,-2.13
2014-10-01,38702.00,0.48
2014-10-03,37888.00,-2.10
2014-10-05,37845.00,-0.11
2014-10-06,38488.00,1.70
2014-10-07,38363.00,-0.32
2014-10-08,38217.00,-0.38
2014-10-09,38615.00,1.04
2014-10-10,38512.00,-0.27
2014-10-13,38336.00,-0.46
2014-10-14,38767.00,1.12
2014-10-16,38872.00,0.27
2014-10-17,38399.00,-1.22
2014-10-20,38533.00,0.35
2014-10-21,38767.00,0.61
2014-10-22,38209.00,-1.44
2014-10-23,38016.00,-0.51
2014-10-24,38074.00,0.15
2014-10-27,38145.00,0.19
2014-10-28,38129.00,-0.04
2014-10-29,38273.00,0.38
2014-10-30,36574.00,-4.44
2014-10-31,35797.00,-2.12
2014-11-03,35942.00,0.41
2014-11-04,35495.00,-1.24
2014-11-05,34412.00,-3.05
2014-11-06,34271.00,-0.41
2014-11-07,34796.00,1.53
2014-11-10,34745.00,-0.15
2014-11-11,34805.00,0.17
2014-11-12,34695.00,-0.32
2014-11-13,34707.00,0.03
2014-11-14,36032.00,3.82
2014-11-16,36150.00,0.33
2014-11-17,35629.00,-1.44
2014-11-18,35804.00,0.49
2014-11-19,36372.00,1.59
2014-11-20,35819.00,-1.52
2014-11-21,36080.00,0.73
2014-11-24,36245.00,0.46
2014-11-25,36520.00,0.76
2014-11-26,36594.00,0.20
2014-11-27,35887.00,-1.93
2014-11-28,34527.00,-3.79
2014-12-01,36723.00,6.36
2014-12-02,36158.00,-1.54
2014-12-03,36285.00,0.35
2014-12-04,36507.00,0.61
2014-12-05,36230.00,-0.76
2014-12-08,36595.00,1.01
2014-12-09,38521.00,5.26
2014-12-10,38668.00,0.38
2014-12-11,38722.00,0.14
2014-12-12,38707.00,-0.04
2014-12-15,38315.00,-1.01
2014-12-16,36727.00,-4.14
2014-12-17,36731.00,0.01
2014-12-18,36555.00,-0.48
2014-12-19,36940.00,1.05
2014-12-22,36155.00,-2.13
2014-12-23,36423.00,0.74
2014-12-24,36445.00,0.06
2014-12-26,37315.00,2.39
2014-12-29,36484.00,-2.23
2014-12-30,37352.00,2.38
2014-12-31,35990.00,-3.65
2015-01-01,36210.00,0.61
2015-01-02,36235.00,0.07
2015-01-05,37026.00,2.18
2015-01-06,37914.00,2.40
2015-01-07,37762.00,-0.40
2015-01-08,36954.00,-2.14
2015-01-09,36833.00,-0.33
2015-01-12,36971.00,0.37
2015-01-13,38158.00,3.21
2015-01-14,37930.00,-0.60
2015-01-15,37922.00,-0.02
2015-01-16,39061.00,3.00
2015-01-17,39098.00,0.09
2015-01-19,39028.00,-0.18
2015-01-20,39522.00,1.27
2015-01-21,39923.00,1.01
2015-01-22,40079.00,0.39
2015-01-23,39965.00,-0.28
2015-01-25,40029.00,0.16
2015-01-27,39530.00,-1.25
2015-01-28,39472.00,-0.15
2015-01-29,37286.00,-5.54
2015-01-30,38105.00,2.20
2015-02-02,38005.00,-0.26
2015-02-03,38091.00,0.23
2015-02-04,38371.00,0.74
2015-02-05,37859.00,-1.33
2015-02-06,37024.00,-2.21
2015-02-09,37798.00,2.09
2015-02-10,37599.00,-0.53
2015-02-11,37397.00,-0.54
2015-02-12,37225.00,-0.46
2015-02-13,38204.00,2.63
2015-02-16,38128.00,-0.20
2015-02-17,36374.00,-4.60
2015-02-18,36278.00,-0.26
2015-02-19,36420.00,0.39
2015-02-20,36314.00,-0.29
2015-02-21,36265.00,-0.13
2015-02-23,36199.00,-0.18
2015-02-24,35974.00,-0.62
2015-02-25,36455.00,1.34
2015-02-26,36628.00,0.47
2015-02-27,36393.00,-0.64
2015-02-28,36736.00,0.94
2015-03-02,36646.00,-0.24
2015-03-03,36399.00,-0.67
2015-03-04,36378.00,-0.06
2015-03-05,36217.00,-0.44
2015-03-06,35972.00,-0.68
2015-03-09,35914.00,-0.16
2015-03-10,35697.00,-0.60
2015-03-11,35049.00,-1.82
2015-03-12,35325.00,0.79
2015-03-13,35533.00,0.59
2015-03-14,35564.00,0.09
2015-03-16,35563.00,0.00
2015-03-17,35356.00,-0.58
2015-03-18,35312.00,-0.12
2015-03-19,36371.00,3.00
2015-03-20,37789.00,3.90
2015-03-23,37781.00,-0.02
2015-03-24,37991.00,0.56
2015-03-25,38158.00,0.44
2015-03-26,38613.00,1.19
2015-03-27,38395.00,-0.56
2015-03-30,37466.00,-2.42
2015-03-31,37169.00,-0.79
2015-04-01,37900.00,1.97
2015-04-02,37349.00,-1.45
2015-04-06,38163.00,2.18
2015-04-07,37687.00,-1.25
2015-04-08,36958.00,-1.93
2015-04-09,36283.00,-1.83
2015-04-10,36713.00,1.19
2015-04-13,36560.00,-0.42
2015-04-14,36325.00,-0.64
2015-04-15,36581.00,0.70
2015-04-16,36487.00,-0.26
2015-04-17,36455.00,-0.09
2015-04-20,36074.00,-1.05
2015-04-21,36157.00,0.23
2015-04-22,35791.00,-1.01
2015-04-23,36111.00,0.89
2015-04-24,35950.00,-0.45
2015-04-27,37148.00,3.33
2015-04-28,37527.00,1.02
2015-04-29,37714.00,0.50
2015-04-30,36515.00,-3.18
2015-05-01,36540.00,0.07
2015-05-04,37130.00,1.61
2015-05-05,37295.00,0.44
2015-05-06,37992.00,1.87
2015-05-07,37865.00,-0.33
2015-05-08,37935.00,0.18
2015-05-11,37668.00,-0.70
2015-05-12,38364.00,1.85
2015-05-13,39524.00,3.02
2015-05-14,39744.00,0.56
2015-05-15,39951.00,0.52
2015-05-18,40470.00,1.30
2015-05-19,39276.00,-2.95
2015-05-20,39290.00,0.04
2015-05-21,39166.00,-0.32
2015-05-22,38928.00,-0.61
2015-05-25,39140.00,0.54
2015-05-26,38510.00,-1.61
2015-05-27,38354.00,-0.41
2015-05-28,38296.00,-0.15
2015-05-29,38349.00,0.14
2015-06-01,38242.00,-0.28
2015-06-02,38447.00,0.54
2015-06-03,37948.00,-1.30
2015-06-04,37172.00,-2.04
2015-06-05,37010.00,-0.44
2015-06-08,36861.00,-0.40
2015-06-09,36863.00,0.01
2015-06-10,36733.00,-0.35
2015-06-11,36812.00,0.22
2015-06-12,36594.00,-0.59
2015-06-15,37092.00,1.36
2015-06-16,36848.00,-0.66
2015-06-17,36878.00,0.08
2015-06-18,36892.00,0.04
2015-06-19,36680.00,-0.57
2015-06-22,36736.00,0.15
2015-06-23,35938.00,-2.17
2015-06-24,36182.00,0.68
2015-06-25,36106.00,-0.21
2015-06-26,35968.00,-0.38
2015-06-29,35854.00,-0.32
2015-06-30,35536.00,-0.89
2015-07-01,35376.00,-0.45
2015-07-02,35435.00,0.17
2015-07-03,35680.00,0.69
2015-07-06,36181.00,1.40
2015-07-07,34663.00,-4.20
2015-07-08,35000.00,0.97
2015-07-09,35328.00,0.94
2015-07-10,35615.00,0.81
2015-07-13,35527.00,-0.25
2015-07-14,35172.00,-1.00
2015-07-15,34696.00,-1.35
2015-07-16,34504.00,-0.55
2015-07-17,34200.00,-0.88
2015-07-20,34145.00,-0.16
2015-07-21,34022.00,-0.36
2015-07-22,33955.00,-0.20
2015-07-23,33904.00,-0.15
2015-07-24,33702.00,-0.60
2015-07-27,33930.00,0.68
2015-07-28,33765.00,-0.49
2015-07-29,33975.00,0.62
2015-07-30,34020.00,0.13
2015-07-31,34025.00,0.01
2015-08-03,33499.00,-1.55
2015-08-04,33481.00,-0.05
2015-08-05,33479.00,-0.01
2015-08-06,33708.00,0.68
2015-08-07,34031.00,0.96
2015-08-10,35021.00,2.91
2015-08-11,35330.00,0.88
2015-08-12,36091.00,2.15
2015-08-13,36007.00,-0.23
2015-08-14,35429.00,-1.61
2015-08-17,35814.00,1.09
2015-08-18,34794.00,-2.85
2015-08-19,35527.00,2.11
2015-08-20,36310.00,2.20
2015-08-21,36200.00,-0.30
2015-08-24,35410.00,-2.18
2015-08-25,34652.00,-2.14
2015-08-26,33423.00,-3.55
2015-08-27,34056.00,1.89
2015-08-28,34378.00,0.95
2015-08-31,34581.00,0.59
2015-09-01,34511.00,-0.20
2015-09-02,34728.00,0.63
2015-09-03,34762.00,0.10
2015-09-04,34816.00,0.16
2015-09-07,35193.00,1.08
2015-09-08,35663.00,1.34
2015-09-09,35294.00,-1.03
2015-09-10,35383.00,0.25
2015-09-11,34975.00,-1.15
2015-09-14,34713.00,-0.75
2015-09-15,34625.00,-0.25
2015-09-16,35779.00,3.33
2015-09-17,35932.00,0.43
2015-09-18,36077.00,0.40
2015-09-21,36172.00,0.26
2015-09-22,35267.00,-2.50
2015-09-23,35450.00,0.52
2015-09-24,36215.00,2.16
2015-09-25,36072.00,-0.39
2015-09-28,35011.00,-2.94
